ANALISIS RISIKO MISGRADING PER CABANG,,,,,,,,,,,,,
"FORMULA:  [F] Total_Aggr = D+E  |  [G] Rate_Aggr% = F/B  |  [I] Total_Cons = G+H  |  [J] Rate_Cons% = I/B  |  [K] Status_Aggr: IF(G>5%,""URGENT"",IF(G>2%,""NEED TO MONITOR"",""NEUTRAL""))  |  [L] Status_Cons: sama",,,,,,,,,,,,,
Cabang,Total Transaksi,QC Aggressive,IA Aggressive,Total Aggressive,Rate Aggressive %,QC Conservative,IA Conservative,Total Conservative,Rate Conservative %,Status Aggressive,Status Conservative,Avg Misgrade Rate QC%,Avg Offload Loss QC%
Koja,885,37,5,42,4.75%,0,1,1,0.11%,NEED TO MONITOR,NEUTRAL,2.84%,-0.56%
Imam Bonjol,575,36,5,41,7.13%,0,1,1,0.17%,URGENT,NEUTRAL,3.54%,-0.18%
Susukan,625,35,4,39,6.24%,0,0,0,0.00%,URGENT,NEUTRAL,3.15%,-0.19%
Jembatan Batu,655,34,6,40,6.11%,0,0,0,0.00%,URGENT,NEUTRAL,1.91%,-0.20%
Rawa Badak,958,34,10,44,4.59%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.37%,-0.31%
Wisma Asri,499,33,8,41,8.22%,0,0,0,0.00%,URGENT,NEUTRAL,2.47%,-0.31%
Pasar Induk,588,33,12,45,7.65%,0,1,1,0.17%,URGENT,NEUTRAL,2.94%,-0.18%
Jelambar Utama Raya,1175,32,4,36,3.06%,0,6,6,0.51%,NEED TO MONITOR,NEUTRAL,1.71%,-0.12%
Citayam,513,32,6,38,7.41%,0,0,0,0.00%,URGENT,NEUTRAL,2.45%,-0.38%
Pedongkelan,1084,32,6,38,3.51%,0,1,1,0.09%,NEED TO MONITOR,NEUTRAL,1.69%,-0.26%
Yos Sudarso,439,31,7,38,8.66%,0,2,2,0.46%,URGENT,NEUTRAL,3.99%,-0.40%
Kaliabang Tengah,580,30,8,38,6.55%,0,0,0,0.00%,URGENT,NEUTRAL,3.52%,-0.23%
Pengasinan,525,30,8,38,7.24%,0,0,0,0.00%,URGENT,NEUTRAL,2.24%,-0.18%
Muara Bahari,997,30,11,41,4.11%,0,7,7,0.70%,NEED TO MONITOR,NEUTRAL,1.44%,-0.20%
KH Agus Salim,498,30,1,31,6.22%,0,0,0,0.00%,URGENT,NEUTRAL,2.91%,-0.27%
Tambora,1015,29,0,29,2.86%,0,5,5,0.49%,NEED TO MONITOR,NEUTRAL,2.13%,-0.22%
Warakas,688,29,1,30,4.36%,1,0,1,0.15%,NEED TO MONITOR,NEUTRAL,2.10%,-0.14%
Patriot Bekasi,550,29,9,38,6.91%,0,0,0,0.00%,URGENT,NEUTRAL,2.42%,-0.39%
Jatimekar,386,29,5,34,8.81%,0,0,0,0.00%,URGENT,NEUTRAL,4.08%,-0.11%
Duri Raya,697,28,3,31,4.45%,1,0,1,0.14%,NEED TO MONITOR,NEUTRAL,2.19%,-0.21%
Pondok Labu,747,28,4,32,4.28%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.69%,-0.19%
Bojongsari,374,28,10,38,10.16%,0,0,0,0.00%,URGENT,NEUTRAL,3.30%,-0.37%
Tegal Parang,879,28,4,32,3.64%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.64%,-0.21%
Kranggan,672,28,12,40,5.95%,0,1,1,0.15%,URGENT,NEUTRAL,3.71%,-0.29%
Dr. Ratna,425,27,7,34,8.00%,0,0,0,0.00%,URGENT,NEUTRAL,1.28%,-0.09%
Lubang Buaya,717,27,2,29,4.04%,0,1,1,0.14%,NEED TO MONITOR,NEUTRAL,1.94%,-0.19%
Penggilingan,865,26,10,36,4.16%,0,2,2,0.23%,NEED TO MONITOR,NEUTRAL,1.51%,-0.28%
Condet,552,26,2,28,5.07%,0,0,0,0.00%,URGENT,NEUTRAL,1.34%,-0.25%
Basmol,1005,25,2,27,2.69%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,2.36%,-0.18%
Galur,712,25,5,30,4.21%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.75%,-0.14%
Fatmawati,821,25,8,33,4.02%,0,4,4,0.49%,NEED TO MONITOR,NEUTRAL,1.92%,-0.13%
KH Mas Mansyur,937,25,9,34,3.63%,0,1,1,0.11%,NEED TO MONITOR,NEUTRAL,1.56%,-0.07%
Pahlawan Revolusi,663,25,1,26,3.92%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.95%,-0.27%
Poltangan,771,24,4,28,3.63%,0,1,1,0.13%,NEED TO MONITOR,NEUTRAL,2.12%,-0.11%
Pengantin Ali,615,24,6,30,4.88%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,2.70%,-0.17%
